scientific_name,common_name,kingdom,phylum,class,order,family,iucn_status
Vulpes vulpes,Red Fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Least Concern
Canis lupus,Gray Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Least Concern
Canis latrans,Coyote,Animalia,Chordata,Mammalia,Carnivora,Canidae,Least Concern
Ursus americanus,American Black Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Least Concern
Ursus arctos,Brown Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Least Concern
Ursus maritimus,Polar Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Vulnerable
Procyon lotor,Raccoon,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Least Concern
Mephitis mephitis,Striped Skunk,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Least Concern
Lontra canadensis,North American River Otter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Least Concern
Lutra lutra,European Otter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Near Threatened
Enhydra lutris,Sea Otter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Endangered
Mustela erminea,Stoat,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Least Concern
Neovison vison,American Mink,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Least Concern
Martes americana,American Marten,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Least Concern
Martes foina,Stone Marten,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Least Concern
Meles meles,European Badger,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Least Concern
Taxidea taxus,American Badger,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Least Concern
Puma concolor,Mountain Lion,Animalia,Chordata,Mammalia,Carnivora,Felidae,Least Concern
Lynx canadensis,Canada Lynx,Animalia,Chordata,Mammalia,Carnivora,Felidae,Least Concern
Lynx rufus,Bobcat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Least Concern
Lynx lynx,Eurasian Lynx,Animalia,Chordata,Mammalia,Carnivora,Felidae,Least Concern
Felis silvestris,European Wildcat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Least Concern
Panthera leo,Lion,Animalia,Chordata,Mammalia,Carnivora,Felidae,Vulnerable
Panthera tigris,Tiger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Endangered
Panthera pardus,Leopard,Animalia,Chordata,Mammalia,Carnivora,Felidae,Vulnerable
Panthera onca,Jaguar,Animalia,Chordata,Mammalia,Carnivora,Felidae,Near Threatened
Acinonyx jubatus,Cheetah,Animalia,Chordata,Mammalia,Carnivora,Felidae,Vulnerable
Ailurus fulgens,Red Panda,Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Endangered
Ailuropoda melanoleuca,Giant Panda,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Vulnerable
Odocoileus virginianus,White-tailed Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Least Concern
Odocoileus hemionus,Mule Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Least Concern
Alces alces,Moose,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Least Concern
Rangifer tarandus,Caribou,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Vulnerable
Cervus canadensis,Elk,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Least Concern
Cervus elaphus,Red Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Least Concern
Capreolus capreolus,Roe Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Least Concern
Bison bison,American Bison,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Near Threatened
Bison bonasus,European Bison,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Near Threatened
Sus scrofa,Wild Boar,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Least Concern
Antilocapra americana,Pronghorn,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Least Concern
Loxodonta africana,African Bush Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Vulnerable
Loxodonta cyclotis,African Forest Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Critically Endangered
Elephas maximus,Asian Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Endangered
Giraffa camelopardalis,Giraffe,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Vulnerable
Hippopotamus amphibius,Common Hippopotamus,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Vulnerable
Castor canadensis,North American Beaver,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Least Concern
Castor fiber,Eurasian Beaver,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Least Concern
Marmota monax,Groundhog,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Least Concern
Marmota marmota,Alpine Marmot,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Least Concern
Sciurus carolinensis,Eastern Gray Squirrel,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Least Concern
Sciurus niger,Fox Squirrel,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Least Concern
Sciurus vulgaris,Eurasian Red Squirrel,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Least Concern
Tamias striatus,Eastern Chipmunk,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Least Concern
Ondatra zibethicus,Muskrat,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Least Concern
Erinaceus europaeus,Western European Hedgehog,Animalia,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Least Concern
Didelphis virginiana,Virginia Opossum,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Least Concern
Lepus americanus,Snowshoe Hare,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Least Concern
Lepus europaeus,European Hare,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Least Concern
Sylvilagus floridanus,Eastern Cottontail,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Least Concern
Gorilla gorilla,Western Gorilla,Animalia,Chordata,Mammalia,Primates,Hominidae,Critically Endangered
Pan troglodytes,Chimpanzee,Animalia,Chordata,Mammalia,Primates,Hominidae,Endangered
Phascolarctos cinereus,Koala,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Vulnerable
Macropus rufus,Red Kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Least Concern
Tursiops truncatus,Common Bottlenose Dolphin,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Least Concern
Orcinus orca,Killer Whale,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Data Deficient
Megaptera novaeangliae,Humpback Whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Least Concern
Delphinapterus leucas,Beluga Whale,Animalia,Chordata,Mammalia,Artiodactyla,Monodontidae,Near Threatened
Phoca vitulina,Harbor Seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Least Concern
Zalophus californianus,California Sea Lion,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Least Concern
Mirounga angustirostris,Northern Elephant Seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Least Concern
Trichechus manatus,West Indian Manatee,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Vulnerable
Haliaeetus leucocephalus,Bald Eagle,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Least Concern
Aquila chrysaetos,Golden Eagle,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Least Concern
Pandion haliaetus,Osprey,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Least Concern
Buteo jamaicensis,Red-tailed Hawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Least Concern
Buteo buteo,Common Buzzard,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Least Concern
